# T(K)  Cv_mol(mJ/K-mol)  Beta(mJ/K^4-mol)
   4.0      11.5936           0.1812
   4.5      17.6085           0.1932
   5.0      25.5482           0.2044
   5.5      35.6972           0.2146
   6.0      48.3329           0.2238
   6.5      63.7209           0.2320
   7.0      82.1103           0.2394
   7.5     103.7312           0.2459
   8.0     128.7930           0.2515
   8.5     157.4841           0.2564
   9.0     189.9724           0.2606
   9.5     226.4060           0.2641
  10.0     266.9142           0.2669
  10.5     311.6086           0.2692
  11.0     360.5828           0.2709
